vehicle_type,make,model,version,fuel,year,kms,power,doors,shift,color,photos,description,price,currency,location,publish_date,update_date,dealer_name,dealer_description,dealer_address,dealer_zip_code,dealer_city,dealer_country_code,dealer_is_professional,dealer_website,dealer_registered_at,date
car,Opel,Crossland,1.2 GAS 110 GS Line 5p S/S,Gasolina,2022,5.0,110.0,,manual,,10,"OFERTA EXCLUSIVA DE INTERNET 
Nuevo Opel Crossland GSLINE 1.2 Turbo Gasolina 110cv manual de 6 velocidades.
Vehículo dotado del siguiente equipamiento:
NUEVO A ESTRENAR, MATRICULADO EN FECHA 31.08.2022 
FAROS ECOLED
NAVEGADOR 5.0 INTELILINK
PILOTOS TRASEROS LED
CÁMARA DELANTERA (Alerta de Cambio Involuntario de Carril)
PANTALLA INTELILLINK R4.0 7” CON APPLE CAR PLAY & ANDROID AUTO
FRENOS DE DISCO DELANTEROS Y TRASEROS 
LLANTAS SPORT 17” COLO NEGRO DIAMANTE
SENSOR APARCAMIENTO TRASERO
KIT ANTIPINCHAZOS
ANCLAJES ISOFIX PLAZAS TRASERAS
ASIENTO AGR  (ASIENTOS ERGONÓMICO)
ELEVALUNAS TRASEROS Y DELANTEROS ELÉCTRICOS
CLIMATIZADOR DIGITAL BIZONA
CONS",22900,EUR,Pineda de Mar,2023-02-04,2023-02-04,Sergio Y.,,"2, Carrer de Jacint Benavente, Poblenou, Pineda de Mar, Maresme, Barcelona, Catalunya, 08397, España",8397.0,Pineda de Mar,ES,True,www.cocheauto.com,2017-01-18,2023-02-06
car,Opel,Crossland,1.2 81kW (110CV) GS Line,Gasolina,2022,24847.0,110.0,,manual,,10,"¡¡Hola!! Somos Peugeot Alcalá 534 Concesionario Oficial Peugeot. Desde el año 1997 siendo líderes en compra - venta de vehículos de ocasión en Madrid. Nuestros clientes nos avalan. Todos nuestros vehículos cuentan con la revisión completa de 71 puntos para que no tengas que gastarte ni un euro en un año o 15.000km. Sin sorpresas. ¡¡AHORA VIENE LO BUENO!! Te garantizamos: PRECIO TODO INCLUIDO: cambio de titularidad, garantía… ENTREGA INMEDIATA y en cualquier punto de la Península; LLAVE EN MANO Amplio STOCK de vehículos de ocasión y Km0 Garantía oficial de hasta 24 meses Cobertura europea con asistencia en carretera gratuita 24 horas Aceptamos tu vehículo como parte de pago. Tasación en el momento. ¿PENSANDO EN FINANCIAR? Financia tu vehículo con nosotros y llévate un descuento de 1000€ (mínimo 9.000€ en 48 meses) Precio al contado 19.990€ Precio financiado 18.990€ Estamos seguros de que en Peugeot Alcalá 534 vas a encontrar el coche que estás buscando ¿DÓNDE ESTAMOS? AVDA JOSÉ GÁRATE 5, 28823 COSLADA – MADRID CRTA DE VALENCIA KM 7, AVENIDA DE LA DEMOCRACIA 21, 28037 -MADRID C/ VIRGEN DE LA PAZ 8, 28037- MADRID CONTACTA YA CON NOSOTROS, comprueba la seriedad y buen hacer de nuestros asesores comerciales. ¡¡Aquí os dejamos sus contactos!! estarán encantados de atenderte: - Edurne Juárez en el teléfono 676 70 58 03 - Alberto Díaz en el teléfono 650 44 37 71 Como has visto, ¡¡TE LO PONEMOS TODO MUY MUY FÁCIL!! EQUIPAMIENTOS: Alerón en el techo/parte superior del portón Asientos de tela (material principal) y de cuero sintético (material secundario) Faros con lente elipsoidal, bombilla LED y luz larga con bombilla LED Luces de freno, luces de cruce, Luces de día, Luces traseras y luces de carretera con tecnología LED Navi 5.0 IntelliLink Preinstalacion de rueda de repuesto Volante multi-función de aleación y cuero ajustable en altura y en profundidad",19990,EUR,Coslada,2023-01-20,2023-02-06,Peugeot Alcala 534,Concesionario Oficial Peugeot Alcalá 534. Disponemos de un amplio stock en vehículos de ocasión. Infórmate sin compromiso y hazte con tu nuevo Peugeot KM0 o de Ocasión. Nuestros comerciales están a tu disposición para cualquier duda o consulta. ,"Avenida de José Gárate, Coslada, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28823, España",28823.0,Coslada,ES,True,www.alcala534.com/es/vehiculos-ocasion,2019-02-15,2023-02-06
car,Opel,Crossland,1.5D 88kW (120CV) Business Elegance Auto,Diésel,2021,41356.0,120.0,,automatic,,10,"Clicars. Mejor precio garantizado. Envíos gratis 24h en la puerta de tu casa en península. Financiación en el acto y adaptada a tu medida. ¡Llámanos al 911 438 321 o ven a conocernos! Precio financiado: 16890€ financiando el 100%. Elige tu cuota desde 283€/mes IVA deducible. Descuento: ¡Descuentos: ¡Salta con nuestros descuentos!! Hasta 5.700€ dto (-25%) en este coche. ¡Hasta el 7 de febrero! - Nº1 en Europa en venta de coches online - 15 días o 1000Km para probarlo. Si no te convence ¡Lo devuelves! - Precios sin sorpresas. Si lo encuentras más barato, te devolvemos la diferencia 100€ - Déjanos tu coche como parte de pago - Todos los vehículos pasan la certificación más exigente en 270 puntos - Nuestro horario es de L-V: 9:00 a 20:30 | S y D: 10:00 a 19:00 Compra online, llámanos o ven a la mayor exposición de coches de España: 90000m2 y 1.850 coches en Av, Laboral 10, Madrid ID -241485- Coche nacional con kilometraje garantizado Cambio automático Y más en ¡clicars.com!",18590,EUR,Madrid,2022-11-30,2023-02-06,Clicars S.,"Nº1 en Europa en venta de coches online. 
Ya puedes comprar coches de buena mano en un clic. 
Te lo llevamos gratis a la puerta de casa (en península).
¡Conócenos en nuestra web clicars.com! O ven a visitarnos a Av, Laboral 10, Madrid. ","San Cristóbal, Avenida de Andalucía, San Cristóbal, Villaverde, Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28021, España",28021.0,Madrid,ES,True,www.clicars.com/,2016-05-09,2023-02-06
car,Opel,Crossland,GS-Line 1.2 GAS MT6 S/S 110cv,Gasolina,2022,11.0,110.0,,manual,,10,.,22700,EUR,Sabadell,2022-11-29,2023-02-06,Vallescar S.,"¿QUIERES UN VEHÍCULO HECHO A TU MEDIDA, CON LAS MEJORES GARANTÍAS Y A UN PRECIO ÚNICO?
Vallescar Ocasión, Concesionario Oficial Multimarca en Terrassa, Sabadell, Mollet del Vallès Y Manresa, ofrece una amplia y cuidada selección de vehículos.","Parc de Bombers de Sabadell, 52, Carretera de Barcelona, Gràcia, Sabadell, Vallès Occidental, Barcelona, Catalunya, 08205, España",8200.0,Sabadell,ES,True,https://www.vallescarocasion.es/,2019-09-30,2023-02-06
car,Opel,Crossland,GS-Line 1.2 GAS MT6 S/S 110cv,Gasolina,2022,11.0,110.0,,manual,,10,.,22700,EUR,Mollet del Vallès,2022-11-29,2023-02-06,Vallescar Ocasion M.,"¿QUIERES UN VEHÍCULO HECHO A TU MEDIDA, CON LAS MEJORES GARANTÍAS Y A UN PRECIO ÚNICO?
Vallescar Ocasión, Concesionario Oficial Multimarca en Terrassa, Sabadell, Mollet del Vallès Y Manresa, ofrece una amplia y cuidada selección de vehículos.","27, Carrer de Fèlix Ferran, Mollet del Vallès, Vallès Oriental, Barcelona, Catalunya, 08100, España",8100.0,Mollet del Vallès,ES,True,https://www.vallescarocasion.es/,2017-04-19,2023-02-06
car,Opel,Crossland,1.2 GS LINE 110 CV 5P,Gasolina,2021,51390.0,110.0,,manual,,10,"PVP 18.200 Oferta con financiación 16.400 (Consultar condiciones de financiación)##-Color: Blanco#-Extras:# -Sensores de parking trasero y delantero# -Cámara# -Navegador# -Espejos plegables# -Sensor de lluvia y luces# -Clima auto# -Control de crucero y limitador# -Control de ángulo muerto# -Control de carril# -Start&Stop# -Llanta 16""##Fecha de matriculación 11/03/2021#IVA DEDUCIBLE. Vehículo con kilómetros certificados e historial de mantenimiento. Un año de garantía sin límite de kilómetros, de la cual tiene garantía oficial Opel hasta 11/03/2023.##El vehículo se entrega completamente revisado de mecánica, chapa y pintura. Transferencia provisional y definitiva no incluida en el precio anunciado 200 euros. Financiación sin entrada a su medida con posibilidad de cancelación total o parcial a partir de la cuota 18 y sólo el 1% de gastos de cancelación. Valoramos su coche como parte de pago.#Realizamos entregas en toda España y de forma gratuita en nuestros puntos de ventas. Le ofrecemos atención personalizada en Vélez-Málaga, Málaga, Mijas / Fuengirola, Marbella, Puerto Banús, Granada, Almería y El Ejido. Somos concesionario oficial Opel.##TAMBIÉN ATENDEMOS POR WHATSAPP 678 787 888##Onecar.es, especialistas en vehículos de ocasión, usados, seminuevos y Km0. Empresa componente y avalada por Grupo Nieto Automoción (GNA). Más de 50 años de experiencia en el sector con miles de clientes satisfechos.##LLÁMANOS Y CONSULTA TU SEGURO A TODO RIESGO SIN COMPROMISO A UN PRECIO EXCEPCIONAL##No se venderá este vehículo a persona física o empresa cuyo fin sea la venta o reventa del vehículo.#(Oferta válida salvo error tipográfico)",18200,EUR,Málaga,2022-11-26,2023-02-06,onecar.es A.,"Onecar.es es la marca de Vehículos de Ocasión y Km0 del Grupo Nieto Automoción (GNA).
Disponemos de una de las mayores ofertas de vehículos usados de España a los mejores precios y opciones de financiación posibles. Nos mueve la filosofía de la autom","Calle de las Bulerías, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España",29006.0,Málaga,ES,True,https://onecar.es/vehiculos,2020-04-07,2023-02-06
car,Opel,Crossland,1.2 81KW EDITION 110 CV 5P,Gasolina,2021,30536.0,110.0,,manual,,10,"PVP 17.100 Oferta con financiación 15.600 (Consultar condiciones de financiación)##-Color: Azul.#-Extras:# -Navegador# -Sensor de lluvia y luces# -Control de crucero y limitador# -Start&Stop# -Clima auto# -Android Auto# -Apple Carplay##Fecha de matriculación 05/07/2021#IVA DEDUCIBLE. Vehículo con kilómetros certificados. Un año de garantía sin límite de kilómetros, de la cual tiene garantía oficial Opel hasta 05/07/2023.##El vehículo se entrega completamente revisado de mecánica, chapa y pintura. Transferencia provisional y definitiva no incluida en el precio anunciado 200 euros. Financiación sin entrada a su medida con posibilidad de cancelación total o parcial a partir de la cuota 18 y sólo el 1% de gastos de cancelación. Valoramos su coche como parte de pago.#Realizamos entregas en toda España y de forma gratuita en nuestros puntos de ventas. Le ofrecemos atención personalizada en Vélez-Málaga, Málaga, Mijas / Fuengirola, Marbella, Puerto Banús, Granada, Almería y El Ejido. Somos concesionario oficial Opel.##TAMBIÉN ATENDEMOS POR WHATSAPP 678 787 888##Onecar.es, especialistas en vehículos de ocasión, usados, seminuevos y Km0. Empresa componente y avalada por Grupo Nieto Automoción (GNA). Más de 50 años de experiencia en el sector con miles de clientes satisfechos.##LLÁMANOS Y CONSULTA TU SEGURO A TODO RIESGO SIN COMPROMISO A UN PRECIO EXCEPCIONAL##No se venderá este vehículo a persona física o empresa cuyo fin sea la venta o reventa del vehículo.#(Oferta válida salvo error tipográfico)",17100,EUR,Málaga,2022-11-26,2023-02-06,onecar.es A.,"Onecar.es es la marca de Vehículos de Ocasión y Km0 del Grupo Nieto Automoción (GNA).
Disponemos de una de las mayores ofertas de vehículos usados de España a los mejores precios y opciones de financiación posibles. Nos mueve la filosofía de la autom","Calle de las Bulerías, Cruz de Humilladero, Málaga, Málaga-Costa del Sol, Málaga, Andalucía, 29006, España",29006.0,Málaga,ES,True,https://onecar.es/vehiculos,2020-04-07,2023-02-06
car,Opel,Crossland,1.2 GAS 130 GS Line 5p S/S,Gasolina,2022,,131.0,,manual,,8,"Opel Crossland GS-Line 1.2 GAS MT6 S/S 130cv   * 22.360€ FINANCIANDO CON OPEL BANK (mínimo de 8.000 € a 48 meses).OPCIONES: Pintura autik Blue * Cámara de visión trasera panorámica * GPS
  *VEHÍCULO EN STOCK CON ENTREGA INMEDIATA . Precio condicionado a financiar con OPEL BANK y entrega de coche para baja .  PRECIO SIN FINANCIACIÓN. 24.360€ Aceptamos vehículo como parte de pago.
IMPUESTOS Y MATRICULACIÓN INCLUIDOS
POSIBILIDAD DE ENTREGA EN TODA ESPAÑA

PREGÚNTENOS SIN COMPROMISO

Opel Prizán Móstoles, Grupo Velasco
C/ Moraleja de Enmedio esq, C. Alfonso XII, 28935 Móstoles (Madrid)
Tlf: 916 42 90 40",24870,EUR,Móstoles,2022-11-18,2023-01-01,"AUTOS VELASCO, S.L.U P.","CONCESIONARIO  CITROEN, PEUGEOT, OPEL Y DS.

Queremos estar a vuestro lado, acompañaros en vuestras necesidades, adaptarnos a lo que nos pidáis. Porque nuestra vocación de servicio está arraigada en el Grupo Velasco desde hace más de 50 años.","Avenida de Portugal, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28935, España",28934.0,Móstoles,ES,True,https://www.grupovelasco.es/,2022-11-18,2023-02-06
car,Opel,Crossland,1.2 GAS 110 Edition 5p S/S,Gasolina,2022,,110.0,,manual,,6,"Opel Crossland EDITION 1.2 GAS MT6 S/S 110cv * 19.225 € FINANCIANDO CON OPEL BANK (mínimo de 8.000 € a 48 meses). VEHÍCULO EN STOCK CON ENTREGA INMEDIATA . Precio condicionado a financiar con OPEL BANK y entrega de coche para baja .  PRECIO SIN FINANCIACIÓN. 21.225€ Aceptamos vehículo como parte de pago.

PREGÚNTENOS SIN COMPROMISO O VENGA A VERNOS A:

Opel Prizán Móstoles, Grupo Velasco
C/ Moraleja de Enmedio esq, C. Alfonso XII, 28935 Móstoles (Madrid)
Tlf: 916 42 90 40",21225,EUR,Móstoles,2022-11-18,2023-01-01,"AUTOS VELASCO, S.L.U P.","CONCESIONARIO  CITROEN, PEUGEOT, OPEL Y DS.

Queremos estar a vuestro lado, acompañaros en vuestras necesidades, adaptarnos a lo que nos pidáis. Porque nuestra vocación de servicio está arraigada en el Grupo Velasco desde hace más de 50 años.","Avenida de Portugal, Móstoles, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28935, España",28934.0,Móstoles,ES,True,https://www.grupovelasco.es/,2022-11-18,2023-02-06
car,Opel,Crossland,1.2 GAS MT6 S/S 130cv Business Elegance,Gasolina,2022,10.0,130.0,,manual,,6,"CROSSLAND 1.2 GAS MT6 S/S 130cv Business Elegance- Vehículo km0. Principales equipamientos: PREINSTALACION DE RUEDA DE REPUESTO,Ventanas laterales posteriores y luna trasera ahumada, Cámara de visión trasera panorámica . , NEW Opel Vizor,Climatizador Digital Bizona,Luces diurnas LED,Faros Eco-Leds,Retrovisores exteriores eléctricos, térmicos y plegables manualmente,Alerta de Cambio Involuntario de Carril (Cámara frontal),Detector de Señales de Velocidad (Cámara frontal) ,Opel Connect,Sistema de radio digital DAB+,Mandos al volante,Pack Visibilidad: sensor lluvia,Control automático de luces avanzado con deteccion de túneles, Espejo interior electrocromático, Parasoles delanteros iluminados ,Navi 5.0 IntelliLink (2 Conexiones USB, Bluetooth®, Control por Voz, Pantalla a color tactil 8"", radio AM/FM, Proyección smartphone en pantalla (Apple cardplay/Android Auto), pantalla multifunción información conductor 3,5"" color). Precio financiado sujeto a condiciones mínimas de financiación. Para más información no dude en contactar con nosotros. Aceptamos su vehículo actual como forma de pago, asación inmediata. Cambio de nombre y garantía oficial 36 meses incluidos en precio. DRIVIM, concesionario oficial OPEL en Badalona. Carrer de l'Acer 48, 08915 Badalona, Barcelona Visite nuestra web: drivim.com/coches-km-0/ *Este anuncio no es vinculante solamente se muestra a modo informativo y contractual, puede contener algún error. OTROS EQUIPAMIENTOS: NEW Opel Vizor Climatizador Digital Bizona Luces diurnas LED Faros Eco-Leds Retrovisores exteriores eléctricos térmicos y plegables manualmente Alerta de Cambio Involuntario de Carril (Cámara frontal) Detector de Señales de Velocidad (Cámara frontal) Opel Connect Sistema de radio digital DAB+ Mandos al volante Pack Visibilidad: sensor lluvia,Control automático de luces avanzado con deteccion de túneles Espejo interior electrocromático Parasoles delanteros iluminados Navi 5.0 IntelliLink (2 Conexiones USB Bluetooth® Control por Voz Pant",23800,EUR,Badalona,2022-11-18,2023-01-11,DRIVIM ..,"Hola! Somos Drivim, la red de concesionarios y talleres oficiales de las marcas  Citroën, Opel, DS Automobiles y Subaru en Badalona.

En nuestros concesionarios te ofrecemos ofertas exclusivas en vehículos nuevos, Km0 y ocasión.
","Passatge del Riu Onyar, Nova Lloreda, Districte 2, Badalona, Barcelonès, Barcelona, Catalunya, 08911, España",8912.0,Badalona,ES,True,www.drivim.com,2017-08-22,2023-02-06
