iter	RMSE
0	15538.50463
1	14626.01255
2	13798.31905
3	13018.9817
4	12330.75355
5	11686.65092
6	11108.40078
7	10576.45782
8	10127.96319
9	9704.635217
10	9338.078321
11	8996.681029
12	8690.420697
13	8396.28166
14	8125.376686
15	7896.089805
16	7684.907463
17	7494.918636
18	7306.605668
19	7149.38221
20	6984.38469
21	6848.209179
22	6716.385919
23	6606.216991
24	6489.073009
25	6389.398109
26	6286.979692
27	6182.687943
28	6099.451911
29	6021.54304
30	5928.939142
31	5858.168056
32	5780.599369
33	5716.493072
34	5641.171617
35	5573.96234
36	5517.248128
37	5455.460528
38	5400.81766
39	5354.194716
40	5289.195591
41	5256.0467
42	5205.962085
43	5168.056327
44	5115.435738
45	5088.757954
46	5054.56519
47	5013.501866
48	4986.65133
49	4956.08819
50	4934.351847
51	4890.360157
52	4871.306205
53	4847.47299
54	4809.221315
55	4778.336592
56	4730.830587
57	4694.316679
58	4659.26066
59	4637.379096
60	4587.844992
61	4564.266617
62	4554.485571
63	4550.154739
64	4518.341692
65	4511.170138
66	4504.335809
67	4474.375712
68	4432.30895
69	4398.730663
70	4363.359733
71	4358.456786
72	4352.670068
73	4340.092448
74	4327.213919
75	4308.720947
76	4289.560461
77	4273.120866
78	4254.892433
79	4249.816378
80	4221.910586
81	4201.604192
82	4164.160966
83	4131.417205
84	4114.503601
85	4099.616563
86	4079.86686
87	4061.16015
88	4057.148349
89	4041.817021
90	4027.008108
91	4004.501923
92	3996.883575
93	3971.57074
94	3953.356256
95	3930.106681
96	3925.348977
97	3922.291241
98	3918.975796
99	3898.957214
100	3895.221312
101	3867.374553
102	3851.195751
103	3833.536534
104	3828.400039
105	3796.694176
106	3785.554625
107	3782.415843
108	3767.109733
109	3756.428396
110	3752.708174
111	3749.02059
112	3731.730952
113	3719.105452
114	3690.549633
115	3687.262366
116	3675.748747
117	3659.416836
118	3656.511717
119	3645.660974
120	3630.837289
121	3624.46421
122	3621.830444
123	3604.970535
124	3586.904143
125	3576.822486
126	3574.040966
127	3560.71845
128	3558.223138
129	3549.269566
130	3540.057063
131	3528.567146
132	3519.775524
133	3509.112313
134	3485.709894
135	3483.273245
136	3479.650811
137	3472.325955
138	3461.565388
139	3448.310971
140	3446.155723
141	3435.426506
142	3433.367648
143	3412.007777
144	3407.617289
145	3399.925165
146	3391.211355
147	3389.426865
148	3383.80127
149	3369.298522
150	3358.8495
151	3340.281448
152	3336.874542
153	3334.247074
154	3332.464915
155	3330.778937
156	3320.957321
157	3318.87094
158	3317.402146
159	3309.285645
160	3295.255473
161	3285.616762
162	3280.634817
163	3262.855827
164	3248.668052
165	3236.851997
166	3230.236874
167	3223.475643
168	3212.437341
169	3200.141865
170	3184.281079
171	3178.869572
172	3177.563742
173	3169.687457
174	3161.954176
175	3148.533987
176	3142.831329
177	3134.852436
178	3131.290288
179	3121.254307
180	3115.996379
181	3114.70086
182	3108.5641
183	3099.352245
184	3090.040224
185	3079.202785
186	3074.599629
187	3056.515083
188	3054.811903
189	3045.543098
190	3040.709854
191	3039.244576
192	3027.627773
193	3019.114713
194	3015.200005
195	3014.075665
196	3007.74873
197	3003.845338
198	3000.656521
199	2993.93437
